time,result
2024-12-11 19:57:03,lose
2024-12-11 19:58:32,lose
2024-12-11 20:00:07,win
2024-12-11 20:01:38,lose
2024-12-11 20:03:04,lose
2024-12-11 20:04:37,lose
2024-12-11 20:06:03,lose
2024-12-11 20:07:38,lose
2024-12-11 20:09:04,lose
2024-12-11 20:10:38,lose
2024-12-11 20:12:08,win
2024-12-11 20:13:37,lose
2024-12-11 20:15:02,lose
2024-12-11 20:16:32,lose
2024-12-11 20:18:03,win
2024-12-11 20:19:32,lose
2024-12-11 20:21:02,win
2024-12-11 20:22:32,win
2024-12-11 20:24:02,lose
2024-12-11 20:25:37,win
2024-12-11 20:27:07,lose
2024-12-11 20:31:39,win
2024-12-11 20:34:34,lose
2024-12-11 20:36:08,lose
2024-12-11 20:37:37,lose
2024-12-11 20:39:07,lose
2024-12-11 20:40:37,lose
2024-12-11 20:42:08,win
2024-12-11 20:43:32,win
2024-12-11 20:46:32,lose
2024-12-11 20:48:02,lose
2024-12-11 20:51:04,lose
2024-12-11 20:52:36,lose
2024-12-11 20:54:03,win
2024-12-11 20:55:32,lose
2024-12-11 20:57:02,lose
2024-12-11 20:58:38,win
2024-12-11 21:00:08,win
2024-12-11 21:01:33,lose
2024-12-11 21:03:03,win
2024-12-11 21:04:37,lose
2024-12-11 21:06:08,lose
2024-12-11 21:07:37,win
2024-12-11 21:09:09,win
2024-12-11 21:10:38,lose
2024-12-11 21:12:04,lose
2024-12-11 21:13:32,lose
2024-12-11 21:15:03,lose
2024-12-11 21:16:32,win
2024-12-11 21:18:03,lose
2024-12-11 21:19:33,win
2024-12-11 21:21:02,lose
2024-12-11 21:22:33,lose
2024-12-11 21:24:02,win
2024-12-11 21:25:33,win
2024-12-11 21:27:03,lose
2024-12-11 21:28:33,win
2024-12-11 21:30:07,lose
2024-12-11 21:31:38,lose
2024-12-11 21:33:03,win
2024-12-11 21:34:37,lose
2024-12-11 21:36:07,win
2024-12-11 21:37:37,lose
2024-12-11 21:39:07,win
2024-12-11 21:40:38,lose
2024-12-11 21:42:03,lose
2024-12-11 21:43:33,lose
2024-12-11 21:45:03,win
2024-12-11 21:46:32,win
2024-12-11 21:48:03,win
2024-12-11 21:49:38,lose
2024-12-11 21:51:03,win
2024-12-11 21:52:34,lose
2024-12-11 21:54:02,win
2024-12-11 21:55:33,lose
2024-12-11 21:57:08,lose
2024-12-11 21:58:38,win
2024-12-11 22:00:07,lose
2024-12-11 22:03:04,win
2024-12-11 22:04:37,win
2024-12-11 22:06:08,win
2024-12-11 22:07:37,lose
2024-12-11 22:09:02,lose
2024-12-11 22:10:31,win
2024-12-11 22:12:03,lose
2024-12-11 22:13:32,win
2024-12-11 22:15:03,win
2024-12-11 22:16:37,win
2024-12-11 22:18:03,lose
2024-12-11 22:19:37,lose
2024-12-11 22:21:07,lose
2024-12-11 22:22:33,win
2024-12-11 22:24:02,win
2024-12-11 22:25:38,win
2024-12-11 22:27:03,win
2024-12-11 22:28:33,lose
2024-12-11 22:34:37,lose
2024-12-11 22:36:07,win
2024-12-11 22:39:02,lose
2024-12-11 22:40:33,lose
2024-12-11 22:42:02,lose
2024-12-11 22:43:33,lose
2024-12-11 22:45:03,win
2024-12-11 22:46:37,win
2024-12-11 22:48:07,lose
2024-12-11 22:49:37,lose
2024-12-11 22:51:03,win
2024-12-11 22:52:38,lose
2024-12-11 22:54:03,lose
2024-12-11 22:55:38,lose
2024-12-11 22:58:38,win
2024-12-11 23:00:07,lose
2024-12-11 23:01:33,lose
2024-12-11 23:03:03,win
2024-12-11 23:04:37,lose
2024-12-11 23:06:03,win
2024-12-11 23:07:32,lose
2024-12-11 23:09:02,win
2024-12-11 23:10:37,lose
2024-12-11 23:12:03,lose
2024-12-11 23:13:33,win
2024-12-11 23:15:03,win
2024-12-11 23:16:33,win
2024-12-11 23:18:07,lose
2024-12-11 23:19:38,win
2024-12-11 23:21:08,win
2024-12-11 23:22:38,win
2024-12-11 23:24:03,lose
2024-12-11 23:25:34,win
2024-12-11 23:27:09,lose
2024-12-11 23:28:37,lose
2024-12-11 23:30:01,win
2024-12-11 23:31:32,lose
2024-12-11 23:33:02,lose
2024-12-11 23:34:34,win
2024-12-11 23:36:03,lose
2024-12-11 23:37:37,win
2024-12-11 23:39:02,win
2024-12-11 23:40:33,win
2024-12-11 23:42:02,lose
2024-12-11 23:43:33,win
2024-12-11 23:45:08,lose
2024-12-11 23:46:37,win
2024-12-11 23:48:03,win
2024-12-11 23:49:38,win
2024-12-11 23:51:03,lose
2024-12-11 23:52:33,win
2024-12-11 23:54:08,lose
2024-12-11 23:55:38,lose
2024-12-11 23:57:08,lose
2024-12-11 23:58:37,lose
2024-12-12 00:00:02,win
2024-12-12 00:01:32,lose
2024-12-12 00:03:03,win
2024-12-12 00:04:33,win
2024-12-12 00:06:03,win
2024-12-12 00:07:37,win
2024-12-12 00:09:04,win
2024-12-12 00:10:34,lose
2024-12-12 00:13:33,lose
2024-12-12 00:15:07,win
2024-12-12 00:16:37,lose
2024-12-12 00:18:03,win
2024-12-12 00:19:33,lose
2024-12-12 00:21:08,lose
2024-12-12 00:22:37,win
2024-12-12 00:24:03,lose
2024-12-12 00:25:33,win
2024-12-12 00:27:08,win
2024-12-12 00:28:32,win
2024-12-12 00:30:02,win
2024-12-12 00:31:31,win
2024-12-12 00:33:03,lose
2024-12-12 00:34:32,win
2024-12-12 00:36:08,lose
2024-12-12 00:37:32,lose
2024-12-12 00:39:07,lose
2024-12-12 00:40:37,win
2024-12-12 00:43:37,win
2024-12-12 00:45:03,win
2024-12-12 00:46:37,lose
2024-12-12 00:48:04,win
2024-12-12 00:49:37,lose
2024-12-12 00:51:08,lose
2024-12-12 00:52:37,win
2024-12-12 00:55:32,lose
2024-12-12 00:58:37,win
2024-12-12 01:00:06,win
2024-12-12 01:01:32,win
2024-12-12 01:04:33,win
2024-12-12 01:12:07,win
2024-12-12 01:13:33,win
2024-12-12 01:15:09,lose
2024-12-12 01:16:38,win
2024-12-12 01:18:08,lose
2024-12-12 01:19:33,lose
2024-12-12 01:21:02,lose
2024-12-12 01:24:02,lose
2024-12-12 01:33:02,lose
2024-12-12 01:34:32,win
2024-12-12 01:36:08,win
2024-12-12 01:37:37,win
2024-12-12 01:39:03,win
2024-12-12 01:42:09,win
2024-12-12 01:43:38,lose
2024-12-12 01:45:08,lose
2024-12-12 01:46:37,lose
2024-12-12 01:52:32,win
2024-12-12 01:55:33,lose
2024-12-12 01:57:02,win
2024-12-12 01:58:34,lose
2024-12-12 02:00:07,lose
2024-12-12 02:01:32,win
2024-12-12 02:03:03,win
2024-12-12 02:04:39,lose
2024-12-12 02:06:03,win
2024-12-12 02:07:37,lose
2024-12-12 02:09:08,win
2024-12-12 02:10:36,lose
2024-12-12 02:12:03,lose
2024-12-12 02:13:37,lose
2024-12-12 02:15:03,win
2024-12-12 02:16:39,lose
2024-12-12 02:18:03,lose
2024-12-12 02:19:32,win
2024-12-12 02:21:02,win
2024-12-12 02:22:32,lose
2024-12-12 02:24:03,win
2024-12-12 02:25:37,win
2024-12-12 02:27:03,lose
2024-12-12 02:28:34,lose
2024-12-12 02:30:02,win
2024-12-12 02:31:37,lose
2024-12-12 02:33:07,win
2024-12-12 02:34:33,win
2024-12-12 02:36:03,lose
2024-12-12 02:37:38,win
2024-12-12 02:39:08,win
2024-12-12 02:40:37,win
2024-12-12 02:42:03,lose
2024-12-12 02:43:38,win
2024-12-12 02:45:08,lose
2024-12-12 02:46:39,win
2024-12-12 02:48:03,win
2024-12-12 02:49:31,lose
2024-12-12 02:51:02,win
2024-12-12 02:52:37,win
2024-12-12 02:54:04,lose
2024-12-12 02:55:37,win
2024-12-12 02:57:03,lose
2024-12-12 02:58:33,lose
2024-12-12 03:00:07,lose
2024-12-12 03:01:38,lose
2024-12-12 03:03:03,lose
2024-12-12 03:04:33,lose
2024-12-12 03:06:08,lose
2024-12-12 03:07:33,lose
2024-12-12 03:09:08,win
2024-12-12 03:10:38,lose
2024-12-12 03:12:07,win
2024-12-12 03:13:39,lose
2024-12-12 03:15:04,lose
2024-12-12 03:16:33,lose
2024-12-12 03:18:03,win
2024-12-12 03:19:33,lose
2024-12-12 03:21:02,win
2024-12-12 03:22:37,lose
2024-12-12 03:24:04,win
2024-12-12 03:25:33,lose
2024-12-12 03:27:03,lose
2024-12-12 03:28:33,win
2024-12-12 03:30:02,win
2024-12-12 03:31:37,lose
2024-12-12 03:33:03,lose
2024-12-12 03:34:33,win
2024-12-12 03:36:03,lose
2024-12-12 03:37:33,win
2024-12-12 03:39:08,win
2024-12-12 03:40:37,win
2024-12-12 03:42:09,win
2024-12-12 03:43:39,lose
2024-12-12 03:45:09,lose
2024-12-12 03:46:33,lose
2024-12-12 03:48:02,win
2024-12-12 03:49:32,lose
2024-12-12 03:51:03,win
2024-12-12 03:52:38,lose
2024-12-12 03:54:04,lose
2024-12-12 03:55:37,lose
2024-12-12 03:57:03,win
2024-12-12 03:58:33,win
2024-12-12 04:00:02,lose
2024-12-12 04:01:33,win
2024-12-12 04:03:08,lose
2024-12-12 04:04:38,win
2024-12-12 04:06:07,win
2024-12-12 04:07:33,win
2024-12-12 04:09:08,win
2024-12-12 04:10:38,lose
2024-12-12 04:12:03,win
2024-12-12 04:13:33,win
2024-12-12 04:15:02,win
2024-12-12 04:16:33,lose
2024-12-12 04:18:02,lose
2024-12-12 04:19:32,lose
2024-12-12 04:21:03,win
2024-12-12 04:22:32,win
2024-12-12 04:24:02,win
2024-12-12 04:25:38,lose
2024-12-12 04:27:03,win
2024-12-12 04:28:33,win
2024-12-12 04:30:07,lose
2024-12-12 04:31:32,lose
2024-12-12 04:33:07,lose
2024-12-12 04:34:38,lose
2024-12-12 04:36:07,lose
2024-12-12 04:37:37,win
2024-12-12 04:39:03,lose
2024-12-12 04:40:39,lose
2024-12-12 04:42:07,lose
2024-12-12 04:43:33,win
2024-12-12 04:45:03,lose
2024-12-12 04:46:32,win
2024-12-12 04:48:04,win
2024-12-12 04:49:32,lose
2024-12-12 04:51:03,lose
2024-12-12 04:52:38,lose
2024-12-12 04:54:03,lose
2024-12-12 04:55:33,win
2024-12-12 04:57:03,lose
2024-12-12 04:58:34,lose
2024-12-12 05:00:06,win
2024-12-12 05:01:37,win
2024-12-12 05:03:06,win
2024-12-12 05:04:38,lose
2024-12-12 05:06:08,lose
2024-12-12 05:07:33,lose
2024-12-12 05:09:02,win
2024-12-12 05:10:37,lose
2024-12-12 05:12:08,lose
2024-12-12 05:13:33,lose
2024-12-12 05:15:02,win
2024-12-12 05:16:32,win
2024-12-12 05:18:03,lose
2024-12-12 05:19:32,win
2024-12-12 05:21:02,win
2024-12-12 05:22:37,win
2024-12-12 05:24:02,win
2024-12-12 05:25:32,lose
2024-12-12 05:27:03,lose
2024-12-12 05:28:36,lose
2024-12-12 05:30:06,lose
2024-12-12 05:31:37,lose
2024-12-12 05:33:07,lose
2024-12-12 05:34:33,win
2024-12-12 05:36:03,win
2024-12-12 05:37:37,win
2024-12-12 05:39:08,win
2024-12-12 05:40:37,lose
2024-12-12 05:42:07,lose
2024-12-12 05:43:32,win
2024-12-12 05:45:03,lose
2024-12-12 05:46:31,win
2024-12-12 05:48:03,lose
2024-12-12 05:49:36,win
2024-12-12 05:51:07,win
2024-12-12 05:52:32,win
2024-12-12 05:54:02,win
2024-12-12 05:55:31,win
2024-12-12 05:57:07,win
2024-12-12 05:58:37,lose
2024-12-12 06:00:07,win
2024-12-12 06:01:37,lose
2024-12-12 06:03:03,lose
2024-12-12 06:04:38,lose
2024-12-12 06:06:07,lose
2024-12-12 06:07:37,win
2024-12-12 06:09:07,lose
2024-12-12 06:10:37,win
2024-12-12 06:12:03,win
2024-12-12 06:13:32,win
2024-12-12 06:15:01,lose
2024-12-12 06:16:31,win
2024-12-12 06:18:01,lose
2024-12-12 06:19:31,win
2024-12-12 06:21:03,lose
2024-12-12 06:22:33,win
2024-12-12 06:24:07,win
2024-12-12 06:25:36,lose
2024-12-12 06:27:02,lose
2024-12-12 06:28:32,win
2024-12-12 06:30:06,lose
2024-12-12 06:31:32,lose
2024-12-12 06:33:07,lose
2024-12-12 06:34:38,win
2024-12-12 06:36:06,lose
2024-12-12 06:37:37,win
2024-12-12 06:39:07,lose
2024-12-12 06:40:37,win
2024-12-12 06:42:03,lose
2024-12-12 06:43:31,lose
2024-12-12 06:45:02,win
2024-12-12 06:46:33,win
2024-12-12 06:48:07,win
2024-12-12 06:49:32,lose
2024-12-12 06:51:03,win
2024-12-12 06:52:37,win
2024-12-12 06:54:07,win
2024-12-12 06:55:36,win
2024-12-12 06:57:03,win
2024-12-12 06:58:37,lose
2024-12-12 07:00:07,win
2024-12-12 07:01:36,win
2024-12-12 07:03:06,lose
2024-12-12 07:04:36,win
2024-12-12 07:06:06,lose
2024-12-12 07:07:37,lose
2024-12-12 07:09:08,win
2024-12-12 07:10:37,lose
2024-12-12 07:12:06,lose
2024-12-12 07:13:36,win
2024-12-12 07:15:03,lose
2024-12-12 07:16:31,win
2024-12-12 07:18:02,win
2024-12-12 07:19:37,lose
2024-12-12 07:21:06,win
2024-12-12 07:22:36,win
2024-12-12 07:24:06,win
2024-12-12 07:25:37,lose
2024-12-12 07:27:03,lose
2024-12-12 07:28:37,lose
2024-12-12 07:30:07,lose
2024-12-12 07:31:36,win
2024-12-12 07:33:06,lose
2024-12-12 07:34:38,win
2024-12-12 07:36:07,lose
2024-12-12 07:37:38,win
2024-12-12 07:39:07,lose
2024-12-12 07:40:39,lose
2024-12-12 07:42:01,lose
2024-12-12 07:43:32,win
2024-12-12 07:45:02,win
2024-12-12 07:46:32,win
2024-12-12 07:48:02,win
2024-12-12 07:49:32,lose
2024-12-12 07:51:01,lose
2024-12-12 07:52:38,win
2024-12-12 07:54:07,win
2024-12-12 07:55:35,lose
2024-12-12 07:57:02,win
2024-12-12 07:58:33,win
2024-12-12 10:00:04,lose
2024-12-12 10:01:33,win
2024-12-12 10:03:03,win
2024-12-12 10:04:31,win
2024-12-12 10:06:02,win
2024-12-12 10:07:36,lose
2024-12-12 10:09:07,lose
2024-12-12 10:10:37,lose
2024-12-12 10:12:07,win
2024-12-12 10:13:33,lose
2024-12-12 10:15:02,lose
2024-12-12 10:16:32,win
2024-12-12 10:18:07,lose
2024-12-12 10:19:36,lose
2024-12-12 10:21:07,win
2024-12-12 10:22:37,win
2024-12-12 10:24:07,lose
2024-12-12 10:25:37,win
2024-12-12 10:27:07,lose
2024-12-12 10:28:32,lose
2024-12-12 10:30:02,lose
2024-12-12 10:31:32,lose
2024-12-12 10:33:06,lose
2024-12-12 10:34:31,lose
2024-12-12 10:36:01,lose
2024-12-12 10:37:36,win
2024-12-12 10:39:07,win
2024-12-12 10:40:36,lose
2024-12-12 10:42:02,lose
2024-12-12 10:43:31,win
2024-12-12 10:45:06,win
2024-12-12 10:46:38,lose
2024-12-12 10:48:07,win
2024-12-12 10:49:37,win
2024-12-12 10:51:03,lose
2024-12-12 10:52:36,win
2024-12-12 10:54:08,win
2024-12-12 10:55:38,lose
2024-12-12 10:57:09,lose
2024-12-12 10:58:31,lose
2024-12-12 11:00:01,win
2024-12-12 11:01:31,win
2024-12-12 11:03:07,win
2024-12-12 11:04:37,win
2024-12-12 11:06:06,lose
2024-12-12 11:07:32,lose
2024-12-12 11:09:02,win
2024-12-12 11:10:37,lose
2024-12-12 11:12:03,lose
2024-12-12 11:13:32,win
2024-12-12 11:15:07,lose
2024-12-12 11:16:37,win
2024-12-12 11:18:07,win
2024-12-12 11:19:38,win
2024-12-12 11:21:07,win
2024-12-12 11:22:36,lose
2024-12-12 11:24:08,win
2024-12-12 11:25:36,win
2024-12-12 11:27:03,lose
2024-12-12 11:28:33,lose
2024-12-12 11:30:06,win
2024-12-12 11:31:36,win
2024-12-12 11:33:02,lose
2024-12-12 11:34:31,win
2024-12-12 11:36:02,win
2024-12-12 11:37:36,lose
2024-12-12 11:39:06,lose
2024-12-12 11:40:37,win
2024-12-12 11:42:07,win
2024-12-12 11:43:36,lose
2024-12-12 11:45:03,lose
2024-12-12 11:46:38,lose
2024-12-12 11:48:07,lose
2024-12-12 11:49:36,lose
2024-12-12 11:51:06,win
2024-12-12 11:52:37,win
2024-12-12 11:54:08,win
2024-12-12 11:55:37,win
2024-12-12 11:57:03,lose
2024-12-12 11:58:36,lose
2024-12-12 12:00:01,lose
2024-12-12 12:01:31,lose
2024-12-12 12:03:03,lose
2024-12-12 12:04:36,lose
2024-12-12 12:06:02,win
2024-12-12 12:07:35,win
2024-12-12 12:09:07,win
2024-12-12 12:10:38,lose
2024-12-12 12:12:07,win
2024-12-12 12:13:37,lose
2024-12-12 12:15:03,lose
2024-12-12 12:16:33,win
2024-12-12 12:18:06,lose
2024-12-12 12:19:32,lose
2024-12-12 12:21:06,lose
2024-12-12 12:22:32,lose
2024-12-12 12:24:06,lose
2024-12-12 12:25:32,lose
2024-12-12 12:27:01,win
2024-12-12 12:28:32,win
2024-12-12 12:30:06,lose
2024-12-12 12:31:37,lose
2024-12-12 12:33:06,win
2024-12-12 12:34:32,lose
2024-12-12 12:36:06,lose
2024-12-12 12:37:32,lose
2024-12-12 12:39:06,win
2024-12-12 12:40:36,lose
2024-12-12 12:42:08,win
2024-12-12 12:43:37,win
2024-12-12 12:45:07,win
2024-12-12 12:46:36,win
2024-12-12 12:48:01,win
2024-12-12 12:49:33,win
2024-12-12 12:52:33,win
2024-12-12 12:54:06,win
2024-12-12 12:55:32,win
2024-12-12 12:57:02,lose
2024-12-12 12:58:37,win
2024-12-12 13:00:07,win
2024-12-12 13:01:32,win
2024-12-12 13:03:06,lose
2024-12-12 13:04:36,win
2024-12-12 13:06:07,lose
2024-12-12 13:07:36,lose
2024-12-12 13:09:07,win
2024-12-12 13:10:37,win
2024-12-12 13:12:07,win
2024-12-12 13:13:37,win
2024-12-12 13:15:07,win
2024-12-12 13:16:31,lose
2024-12-12 13:18:02,lose
2024-12-12 13:19:32,lose
2024-12-12 13:21:02,win
2024-12-12 13:22:32,lose
2024-12-12 13:24:01,win
2024-12-12 13:25:32,lose
2024-12-12 13:27:02,lose
2024-12-12 13:28:36,win
2024-12-12 13:30:05,lose
2024-12-12 13:31:37,lose
2024-12-12 13:33:02,win
2024-12-12 13:34:37,win
2024-12-12 13:36:03,lose
2024-12-12 13:37:36,win
2024-12-12 13:39:06,lose
2024-12-12 13:40:38,lose
2024-12-12 13:42:07,win
2024-12-12 13:43:38,win
2024-12-12 13:45:08,lose
2024-12-12 13:46:31,win
2024-12-12 13:48:02,win
2024-12-12 13:49:31,win
2024-12-12 13:52:32,lose
2024-12-12 13:54:03,win
2024-12-12 13:55:32,lose
2024-12-12 13:57:03,lose
2024-12-12 13:58:38,win
2024-12-12 14:01:36,lose
2024-12-12 14:03:02,win
2024-12-12 14:04:36,lose
2024-12-12 14:06:08,win
2024-12-12 14:07:36,win
2024-12-12 14:09:08,lose
2024-12-12 14:10:37,lose
2024-12-12 14:12:06,win
2024-12-12 14:13:36,win
2024-12-12 14:15:01,lose
2024-12-12 14:16:32,lose
2024-12-12 14:18:03,lose
2024-12-12 14:19:36,win
2024-12-12 14:21:02,lose
2024-12-12 14:22:36,lose
2024-12-12 14:24:06,lose
2024-12-12 14:25:36,win
2024-12-12 14:27:01,lose
2024-12-12 14:28:33,win
2024-12-12 14:30:06,lose
2024-12-12 14:31:36,win
2024-12-12 14:33:02,lose
2024-12-12 14:34:37,lose
2024-12-12 14:36:07,lose
2024-12-12 14:37:36,win
2024-12-12 14:39:03,win
2024-12-12 14:40:36,win
2024-12-12 14:42:06,win
2024-12-12 14:43:37,lose
2024-12-12 14:45:02,lose
2024-12-12 14:46:32,lose
2024-12-12 14:48:02,win
2024-12-12 14:49:32,lose
2024-12-12 14:51:02,lose
2024-12-12 14:52:36,win
2024-12-12 14:54:02,win
2024-12-12 14:55:33,win
2024-12-12 14:57:02,win
2024-12-12 14:58:32,win
2024-12-12 15:00:06,lose
2024-12-12 15:01:37,win
2024-12-12 15:03:07,lose
2024-12-12 15:04:37,win
2024-12-12 15:06:03,win
2024-12-12 15:07:37,win
2024-12-12 15:09:07,lose
2024-12-12 15:10:33,win
2024-12-12 15:12:07,lose
2024-12-12 15:13:31,lose
2024-12-12 15:15:01,win
2024-12-12 15:16:32,win
2024-12-12 15:18:06,win
2024-12-12 15:19:33,win
2024-12-12 15:21:03,win
2024-12-12 15:22:33,win
2024-12-12 15:24:07,lose
2024-12-12 15:25:37,lose
2024-12-12 15:27:03,win
2024-12-12 15:28:36,win
2024-12-12 15:30:07,lose
2024-12-12 15:31:36,lose
2024-12-12 15:33:07,lose
2024-12-12 15:34:37,win
2024-12-12 15:36:07,lose
2024-12-12 15:37:36,lose
2024-12-12 15:39:07,lose
2024-12-12 15:40:36,win
2024-12-12 15:42:08,win
2024-12-12 15:43:33,win
2024-12-12 15:45:02,win
2024-12-12 15:46:36,lose
2024-12-12 15:48:06,win
2024-12-12 15:49:36,lose
2024-12-12 15:51:06,win
2024-12-12 15:52:36,lose
2024-12-12 15:54:03,win
2024-12-12 15:55:33,lose
2024-12-12 15:57:06,win
2024-12-12 15:58:31,win
2024-12-12 16:00:07,lose
2024-12-12 16:01:38,win
2024-12-12 16:03:06,win
2024-12-12 16:04:37,win
2024-12-12 16:06:08,lose
2024-12-12 16:07:37,win
2024-12-12 16:09:07,win
2024-12-12 16:10:38,lose
2024-12-12 16:12:02,lose
2024-12-12 16:13:32,win
2024-12-12 16:15:03,lose
2024-12-12 16:16:31,lose
2024-12-12 16:18:02,win
2024-12-12 16:19:31,lose
2024-12-12 16:21:01,win
2024-12-12 16:22:37,win
2024-12-12 16:24:07,lose
2024-12-12 16:25:38,win
2024-12-12 16:27:07,lose
2024-12-12 16:28:37,lose
2024-12-12 16:30:06,lose
2024-12-12 16:31:32,lose
2024-12-12 16:33:08,win
2024-12-12 16:34:38,lose
2024-12-12 16:36:08,win
2024-12-12 16:37:38,win
2024-12-12 16:39:06,win
2024-12-12 16:40:37,win
2024-12-12 16:42:01,win
2024-12-12 16:43:32,win
2024-12-12 16:45:02,lose
2024-12-12 16:46:33,lose
2024-12-12 16:48:07,lose
2024-12-12 16:49:37,lose
2024-12-12 16:51:02,win
2024-12-12 16:52:33,lose
2024-12-12 16:54:02,lose
2024-12-12 16:55:32,lose
2024-12-12 16:57:06,win
2024-12-12 16:58:33,lose
2024-12-12 17:00:07,lose
2024-12-12 17:01:36,lose
2024-12-12 17:03:06,win
2024-12-12 17:04:37,win
2024-12-12 17:06:08,lose
2024-12-12 17:07:37,lose
2024-12-12 17:09:07,lose
2024-12-12 17:10:36,lose
2024-12-12 17:12:03,lose
2024-12-12 17:13:32,win
2024-12-12 17:15:02,win
2024-12-12 17:16:33,lose
2024-12-12 17:18:02,win
2024-12-12 17:19:31,win
2024-12-12 17:21:06,lose
2024-12-12 17:22:36,win
2024-12-12 17:24:02,win
2024-12-12 17:25:33,win
2024-12-12 17:27:07,win
2024-12-12 17:28:36,win
2024-12-12 17:30:06,lose
2024-12-12 17:31:37,lose
2024-12-12 17:33:03,win
2024-12-12 17:34:33,lose
2024-12-12 17:36:08,lose
2024-12-12 17:37:37,win
2024-12-12 17:39:06,lose
2024-12-12 17:40:38,win
2024-12-12 17:42:02,lose
2024-12-12 17:43:31,win
2024-12-12 17:45:02,lose
2024-12-12 17:46:32,lose
2024-12-12 17:48:02,lose
2024-12-12 17:49:36,win
2024-12-12 17:51:02,win
2024-12-12 17:52:36,win
2024-12-12 17:54:08,lose
2024-12-12 17:55:33,lose
2024-12-12 17:57:06,win
2024-12-12 17:58:36,win
2024-12-12 18:00:05,win
2024-12-12 18:01:36,win
2024-12-12 18:03:07,lose
2024-12-12 18:04:37,lose
2024-12-12 18:06:07,lose
2024-12-12 18:07:37,win
2024-12-12 18:09:02,lose
2024-12-12 18:10:32,lose
2024-12-12 18:12:02,win
2024-12-12 18:13:33,lose
2024-12-12 18:15:02,lose
2024-12-12 18:16:37,win
2024-12-12 18:18:06,win
2024-12-12 18:19:37,lose
2024-12-12 18:21:03,win
2024-12-12 18:22:36,win
2024-12-12 18:24:02,lose
2024-12-12 18:25:36,win
2024-12-12 18:27:06,win
2024-12-12 18:28:38,win
2024-12-12 18:30:07,win
2024-12-12 18:31:37,win
2024-12-12 18:33:03,lose
2024-12-12 18:34:36,lose
2024-12-12 18:36:06,win
2024-12-12 18:37:38,lose
2024-12-12 18:39:02,win
2024-12-12 18:40:31,win
2024-12-12 18:42:03,win
2024-12-12 18:43:31,lose
2024-12-12 18:45:01,lose
2024-12-12 18:46:37,lose
2024-12-12 18:48:02,win
2024-12-12 18:49:33,win
2024-12-12 18:51:02,win
2024-12-12 18:52:33,lose
2024-12-12 18:54:02,lose
2024-12-12 18:55:36,lose
2024-12-12 18:57:06,win
2024-12-12 18:58:41,lose
2024-12-12 19:00:07,lose
2024-12-12 19:01:37,win
2024-12-12 19:03:02,win
2024-12-12 19:04:36,lose
2024-12-12 19:06:06,win
2024-12-12 19:07:38,lose
2024-12-12 19:09:02,lose
2024-12-12 19:10:31,win
2024-12-12 19:12:02,win
2024-12-12 19:13:32,win
2024-12-12 19:15:01,lose
2024-12-12 19:16:32,win
2024-12-12 19:18:03,win
2024-12-12 19:19:33,lose
2024-12-12 19:21:07,win
2024-12-12 19:22:37,lose
2024-12-12 19:24:03,lose
2024-12-12 19:25:33,win
2024-12-12 19:27:07,win
2024-12-12 19:28:36,lose
2024-12-12 19:30:06,lose
2024-12-12 19:31:36,win
2024-12-12 19:33:07,lose
2024-12-12 19:34:37,win
2024-12-12 19:36:07,win
2024-12-12 19:37:32,win
2024-12-12 19:39:01,lose
2024-12-12 19:40:36,win
2024-12-12 19:42:01,lose
2024-12-12 19:43:31,win
2024-12-12 19:45:07,win
2024-12-12 19:46:33,win
2024-12-12 19:48:07,lose
2024-12-12 19:49:33,lose
2024-12-12 19:51:06,lose
2024-12-12 19:52:32,win
2024-12-12 19:54:03,win
2024-12-12 19:55:38,win
2024-12-12 19:57:07,win
2024-12-12 19:58:38,lose
2024-12-12 20:00:06,win
2024-12-12 20:01:36,win
2024-12-12 20:03:06,lose
2024-12-12 20:04:37,win
2024-12-12 20:06:07,lose
2024-12-12 20:07:32,win
2024-12-12 20:09:03,lose
2024-12-12 20:10:37,win
2024-12-12 20:12:03,win
2024-12-12 20:13:32,lose
2024-12-12 20:15:03,win
2024-12-12 20:16:33,lose
2024-12-12 20:18:02,lose
2024-12-12 20:19:32,win
2024-12-12 20:21:07,lose
2024-12-12 20:22:36,win
2024-12-12 20:24:07,lose
2024-12-12 20:25:37,lose
2024-12-12 20:27:07,win
2024-12-12 20:28:38,win
2024-12-12 20:30:06,win
2024-12-12 20:31:33,win
2024-12-12 20:33:07,lose
2024-12-12 20:34:37,win
2024-12-12 20:36:01,lose
2024-12-12 20:37:32,lose
2024-12-12 20:39:02,lose
2024-12-12 20:40:33,lose
2024-12-12 20:42:07,lose
2024-12-12 20:43:36,lose
2024-12-12 20:45:02,lose
2024-12-12 20:46:36,lose
2024-12-12 20:48:07,win
2024-12-12 20:49:38,win
2024-12-12 20:51:06,lose
2024-12-12 20:52:37,lose
2024-12-12 20:54:07,lose
2024-12-12 20:55:36,win
2024-12-12 20:57:08,win
2024-12-12 20:58:37,win
2024-12-12 21:00:06,win
2024-12-12 21:01:36,lose
2024-12-12 21:03:03,win
2024-12-12 21:04:32,lose
2024-12-12 21:06:02,lose
2024-12-12 21:07:37,win
2024-12-12 21:09:07,lose
2024-12-12 21:10:36,lose
2024-12-12 21:12:03,lose
2024-12-12 21:13:32,lose
2024-12-12 21:15:02,lose
2024-12-12 21:16:37,lose
2024-12-12 21:18:07,win
2024-12-12 21:19:36,lose
