time,result
2024-12-11 00:18:08,lose
2024-12-11 00:19:33,win
2024-12-11 00:21:04,lose
2024-12-11 00:22:32,lose
2024-12-11 00:24:03,win
2024-12-11 00:25:32,lose
2024-12-11 00:27:02,win
2024-12-11 00:28:33,lose
2024-12-11 00:30:07,lose
2024-12-11 00:31:33,win
2024-12-11 00:33:07,lose
2024-12-11 00:34:32,lose
2024-12-11 00:36:02,lose
2024-12-11 00:37:37,win
2024-12-11 00:39:07,lose
2024-12-11 00:40:38,win
2024-12-11 00:42:07,win
2024-12-11 00:43:37,lose
2024-12-11 00:45:03,lose
2024-12-11 00:46:36,win
2024-12-11 00:48:02,win
2024-12-11 00:49:33,lose
2024-12-11 00:51:03,lose
2024-12-11 00:52:32,win
2024-12-11 00:54:02,win
2024-12-11 00:55:32,win
2024-12-11 00:57:03,lose
2024-12-11 00:58:38,win
2024-12-11 01:00:07,win
2024-12-11 01:01:37,lose
2024-12-11 01:03:03,lose
2024-12-11 01:04:32,lose
2024-12-11 01:06:02,lose
2024-12-11 01:07:33,win
2024-12-11 01:09:08,win
2024-12-11 01:10:37,win
2024-12-11 01:12:07,win
2024-12-11 01:13:36,lose
2024-12-11 01:15:08,lose
2024-12-11 01:16:38,win
2024-12-11 01:18:03,lose
2024-12-11 01:19:33,lose
2024-12-11 01:21:06,win
2024-12-11 01:22:37,lose
2024-12-11 01:24:02,win
2024-12-11 01:25:37,win
2024-12-11 01:27:03,win
2024-12-11 01:28:33,win
2024-12-11 01:30:02,win
2024-12-11 01:31:32,win
2024-12-11 01:33:03,win
2024-12-11 01:34:37,win
2024-12-11 01:36:07,lose
2024-12-11 01:37:38,lose
2024-12-11 01:39:03,win
2024-12-11 01:40:33,win
2024-12-11 01:42:07,lose
2024-12-11 01:43:38,win
2024-12-11 01:45:08,lose
2024-12-11 01:46:38,lose
2024-12-11 01:48:03,win
2024-12-11 01:49:33,win
2024-12-11 01:51:03,win
2024-12-11 01:52:33,lose
2024-12-11 01:54:02,win
2024-12-11 01:55:33,lose
2024-12-11 01:57:03,win
2024-12-11 01:58:32,lose
2024-12-11 02:00:07,lose
2024-12-11 02:01:37,win
2024-12-11 02:03:07,win
2024-12-11 02:04:33,lose
2024-12-11 02:06:03,lose
2024-12-11 02:07:33,win
2024-12-11 02:09:04,win
2024-12-11 02:10:33,lose
2024-12-11 02:12:03,lose
2024-12-11 02:13:38,win
2024-12-11 02:15:07,lose
2024-12-11 02:16:32,win
2024-12-11 02:18:04,lose
2024-12-11 02:19:32,lose
2024-12-11 02:21:02,lose
2024-12-11 02:22:33,win
2024-12-11 02:24:02,lose
2024-12-11 02:25:33,lose
2024-12-11 02:27:08,lose
2024-12-11 02:28:37,lose
2024-12-11 02:30:08,win
2024-12-11 02:31:33,win
2024-12-11 02:33:03,win
2024-12-11 02:34:32,lose
2024-12-11 02:36:08,lose
2024-12-11 02:37:37,lose
2024-12-11 02:39:04,win
2024-12-11 02:40:37,lose
2024-12-11 02:42:07,lose
2024-12-11 02:43:38,lose
2024-12-11 02:45:08,lose
2024-12-11 02:46:32,win
2024-12-11 02:48:03,lose
2024-12-11 02:49:33,lose
2024-12-11 02:51:03,lose
2024-12-11 02:52:32,lose
2024-12-11 02:54:03,win
